x,y,z,timestamp
-23,-23,55,1712017396250000
-23,-23,55,1712017396281250
-23,-23,55,1712017396312500
-23,-23,55,1712017396343750
-25,-24,56,1712017396375000
-24,-24,56,1712017396406250
-24,-27,62,1712017396437500
-22,-27,64,1712017396468750
-21,-26,62,1712017396500000
-20,-29,63,1712017396531250
-27,-29,68,1712017396562500
-26,-27,70,1712017396593750
-32,-25,67,1712017396625000
-36,-24,66,1712017396656250
-48,-14,61,1712017396687500
-55,-10,55,1712017396718750
-66,4,48,1712017396750000
-68,15,40,1712017396781250
-61,19,31,1712017396812500
-42,25,21,1712017396843750
-36,28,17,1712017396875000
-28,37,10,1712017396906250
-26,44,5,1712017396937500
-30,46,2,1712017396968750
-25,48,6,1712017397000000
-13,47,11,1712017397031250
-17,48,8,1712017397062500
-23,51,8,1712017397093750
-21,51,10,1712017397125000
-24,44,8,1712017397156250
-9,51,16,1712017397187500
-20,53,20,1712017397218750
-37,55,10,1712017397250000
-30,57,12,1712017397281250
-37,57,5,1712017397312500
-31,58,4,1712017397343750
-12,63,6,1712017397375000
-7,58,19,1712017397406250
-2,58,36,1712017397437500
-6,55,37,1712017397468750
-18,58,24,1712017397500000
-15,59,27,1712017397531250
-11,55,32,1712017397562500
-14,53,32,1712017397593750
-10,56,26,1712017397625000
-11,58,24,1712017397656250
-12,59,25,1712017397687500
-11,59,26,1712017397718750
-9,56,26,1712017397750000
-13,61,24,1712017397781250
-12,58,26,1712017397812500
-15,58,27,1712017397843750
-10,58,27,1712017397875000
-11,58,25,1712017397906250
-9,58,23,1712017397937500
-10,57,23,1712017397968750
-10,58,23,1712017398000000
-9,60,22,1712017398031250
-10,59,24,1712017398062500
-11,60,25,1712017398093750
-10,59,25,1712017398125000
-10,60,25,1712017398156250
-11,58,25,1712017398187500
-9,59,25,1712017398218750
-9,60,25,1712017398250000
-12,57,24,1712017398281250
-12,57,24,1712017398312500
-11,58,24,1712017398343750
-12,57,26,1712017398375000
-11,58,26,1712017398406250
-12,58,25,1712017398437500
-13,58,26,1712017398468750
-11,59,25,1712017398500000
-11,58,25,1712017398531250
-12,59,25,1712017398562500
-12,58,25,1712017398593750
-12,58,25,1712017398625000
